s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
94.2322824,-53.6869914,9.8862843,2.2575675,0.4371589,5.6766435,-5296.0596949,15.0000000
94.7999468,-54.1413582,9.5459997,2.2136062,0.3871899,5.6766435,-5327.6958951,15.0000000
95.3676111,-54.6088937,9.2240472,2.1738413,0.3502506,5.6766435,-5362.1989637,15.0000000
95.9352755,-55.0879387,8.9194841,2.1371038,0.3235978,5.6766435,-5399.1271175,15.0000000
96.5029398,-55.5772501,8.6317044,2.1024436,0.3053076,5.6766435,-5438.1439667,15.0000000
97.0706042,-55.9896186,8.2415825,2.3284796,-1.9745429,5.6766435,-5489.4816146,15.0000000
97.6382685,-56.3317458,7.7886015,2.4947213,-1.4579115,5.6766435,-5540.9565948,15.0000000
98.2059329,-56.6171102,7.2978776,2.6148744,-1.0560466,5.6766435,-5581.6882443,15.0000000
98.7735972,-56.8586433,6.7841612,2.7020940,-0.7674620,5.6766435,-5613.3662303,15.0000000
99.3412616,-57.0666540,6.2559809,2.7664206,-0.5663493,5.6766435,-5638.1731440,15.0000000
99.9089259,-57.2488301,5.7183429,2.8148897,-0.4268626,5.6766435,-5657.9782504,15.0000000
100.4765903,-57.4107747,5.1742686,2.8522918,-0.3294490,5.6766435,-5674.1904767,15.0000000
101.0442546,-57.5565538,4.6256419,2.8818777,-0.2606244,5.6766435,-5687.8252328,15.0000000
101.6119190,-57.6891282,4.0736756,2.9058721,-0.2113796,5.6766435,-5699.6056820,15.0000000
102.1795833,-57.8106663,3.5191746,2.9258201,-0.1757370,5.6766435,-5710.0480249,15.0000000
102.7472477,-57.9227643,2.9626885,2.9428140,-0.1497151,5.6766435,-5719.5237337,15.0000000
103.3149120,-58.0265982,2.4046012,2.9576428,-0.1306419,5.6766435,-5728.3027726,15.0000000
103.8825764,-58.1230300,1.8451875,2.9708901,-0.1167106,5.6766435,-5736.5831374,15.0000000
104.4502407,-58.2126802,1.2846470,2.9830004,-0.1066936,5.6766435,-5744.5110102,15.0000000
105.0179051,-58.2959776,0.7231273,2.9943238,-0.0997603,5.6766435,-5752.1945661,15.0000000
105.5855694,-58.3731926,0.1607390,3.0051475,-0.0953591,5.6766435,-5759.7134806,15.0000000
106.1532338,-58.4444576,-0.4024343,3.0157197,-0.0931431,5.6766435,-5767.1254984,15.0000000
106.7208981,-58.5097789,-0.9663278,3.0262670,-0.0929239,5.6766435,-5774.4709581,15.0000000
107.2885625,-58.4417307,-1.5298988,-3.0214297,-2.0556160,5.6766435,-5794.5063360,15.0000000
107.8562269,-58.2462317,-2.0628369,-2.7900017,-2.0208110,5.6766435,-5813.9213226,15.0000000
108.4238912,-57.9392355,-2.5403263,-2.5701979,-1.9209936,5.6766435,-5819.0487991,15.0000000
108.9915556,-57.5424909,-2.9463269,-2.3677244,-1.7717008,5.6766435,-5809.8712540,15.0000000
109.5592199,-57.0787865,-3.2737733,-2.1856402,-1.5953766,5.6766435,-5787.7183299,15.0000000
110.1268843,-56.5685461,-3.5225654,-2.0244730,-1.4138007,5.6766435,-5754.7706283,15.0000000
110.6945486,-56.0283096,-3.6968852,-1.8829222,-1.2429532,5.6766435,-5713.4661643,15.0000000
