#{"t_start": 1779012130.100302, "env_id": "f110-v0"}
r,l,t,is_success
1410.072847,489,305.555476,False
3972.876938,1271,309.490129,False
37.606891,75,310.889424,False
39.881399,77,311.253673,False
854.42681,316,312.225503,False
24.256043,61,312.454377,False
909.881813,322,313.697675,False
-15.552045,62,313.909945,False
1101.576769,423,316.046182,False
2053.492869,685,317.650525,False
39.756249,73,319.197149,False
1131.766314,395,320.333354,False
990.456927,419,321.594296,False
1824.624323,614,324.159168,False
577.903473,229,324.894849,False
1428.844115,496,327.791832,False
4545.169478,1384,332.908479,False
1366.14718,450,334.198291,False
46.069365,74,335.603678,False
395.123678,178,336.410729,False
924.379394,375,337.689689,False
54.936397,78,337.943434,False
311.420868,150,338.577333,False
31.81364,71,338.81914,False
425.74344,164,339.226207,False
-7.946896,63,341.021774,False
435.878353,184,341.967013,False
1869.411206,638,343.845319,False
528.345391,220,345.930502,False
756.833516,287,346.660462,False
540.319344,213,347.30207,False
513.991989,213,347.792772,False
-10.29905,52,348.008412,False
-45.411882,502,350.859029,False
1143.372003,376,352.447322,False
557.403159,215,353.167166,False
4231.291058,2053,360.903597,False
58.30232,75,361.159017,False
-3.108096,46,362.443677,False
21.150795,62,362.665822,False
1220.203658,499,364.227278,False
-19.707748,59,364.441076,False
1228.960111,422,366.858477,False
12.280619,66,367.101904,False
1042.065868,355,368.416012,False
32.28924,70,368.661961,False
-15.121851,62,368.898137,False
4683.383421,1510,376.046452,False
500.375916,193,376.637685,False
420.82038,174,377.396954,False
6490.468208,2087,385.132243,False
27.640279,68,385.358264,False
7.968739,56,385.562722,False
656.659977,231,386.419935,False
37.931159,69,386.754641,False
72.941697,80,387.13472,False
619.3078,276,389.147353,False
1861.872299,608,390.279117,False
2170.453106,842,393.111442,False
1382.797489,494,395.174183,False
27.930014,64,395.385107,False
457.76301,181,396.001405,False
48.229758,78,396.24143,False
912.897224,323,397.09856,False
647.053778,235,397.819175,False
51.97227,79,399.177545,False
327.385497,134,399.55871,False
3168.426174,1104,404.335007,False
1745.730361,604,406.404858,False
1217.529612,477,408.908679,False
1560.507372,514,410.101191,False
19.892816,70,410.466209,False
2481.535099,808,413.792377,False
3216.621087,1034,418.03157,False
443.283999,185,418.579935,False
282.645049,133,419.120212,False
782.088545,291,421.48808,False
2509.67107,875,425.293139,False
409.397304,193,425.956815,False
435.038571,206,426.635234,False
1761.845893,583,429.159359,False
1729.103576,591,430.721279,False
2844.385433,969,434.248504,False
1069.048969,393,435.594865,False
543.176808,218,437.456905,False
1935.988174,672,439.212646,False
672.523687,306,441.042581,False
390.389016,187,441.83275,False
-13.689966,71,442.067148,False
978.729765,365,449.89017,False
25.698043,67,450.253098,False
2661.345519,888,454.28347,False
889.51924,344,456.416847,False
802.337298,291,457.097162,False
-96.875203,310,457.797271,False
5.189925,57,457.999804,False
722.741358,281,458.528347,False
1104.133309,397,460.842376,False
1246.220232,440,462.074208,False
1217.367542,403,464.055943,False
1109.50833,389,465.125297,False
1874.235942,633,468.079567,False
1551.547008,549,469.346061,False
1177.485703,434,471.712742,False
1013.835787,356,472.785935,False
1070.250726,378,474.045525,False
31.283894,74,474.291054,False
28.149322,68,474.518826,False
5129.04281,1715,480.540231,False
16.585741,58,480.762115,False
27.270454,72,481.007194,False
747.317042,300,482.887175,False
1072.102128,436,484.074551,False
824.000438,294,484.786144,False
18.111109,801,487.989854,False
2574.354227,863,491.501073,False
2012.766488,675,494.038913,False
37.452703,77,494.272456,False
411.72179,171,494.792137,False
-0.731773,65,495.142686,False
966.669241,361,495.935401,False
1636.416362,550,498.533079,False
1076.095669,560,499.804909,False
1054.615626,384,501.7732,False
847.034799,347,502.554936,False
1233.749756,450,503.55669,False
824.725039,322,505.644074,False
11.533609,59,505.851466,False
12.796336,63,506.063853,False
766.812151,286,506.878754,False
835.232028,319,507.630403,False
3472610.9482,807,510.153847,False9935.616689,68,510.494229,False
499.257727,200,511.059081,False
2583.2236,984,514.806841,False
1090.555039,443,517.041278,False
2078.667969,718,518.953679,False
2313.83059,779,522.03836,False
523.943375,209,522.75457,False
5727.12732,1917,530.33122,False
1544.469911,545,532.692009,False
2098.782535,756,534.808674,False
-16.054077,51,535.002079,False
-0.126896,53,535.198363,False
340.757201,161,536.553423,False
456.774609,183,537.211269,False
21.049163,60,537.550871,False
1050.232754,364,538.218442,False
2103.429099,761,541.318751,False
758.258975,269,542.364731,False
