s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
66.9843935,-52.3217442,16.6442097,1.3492910,0.1035458,5.6766435,-5264.1869209,12.0000000
67.5520579,-52.8742857,16.7743662,1.3394541,0.0866658,5.6766435,-5320.6199082,12.0000000
68.1197222,-53.4257092,16.9091808,1.3310153,0.0743480,5.6766435,-5377.1329363,12.0000000
68.6873866,-53.9761177,17.0480810,1.3235993,0.0653363,5.6766435,-5433.7042669,12.0000000
69.2550509,-54.5255872,17.1906505,1.3169270,0.0587851,5.6766435,-5490.3192636,12.0000000
69.8227153,-55.0741706,17.3365928,1.3107839,0.0541225,5.6766435,-5546.9677873,12.0000000
70.3903796,-55.6219005,17.4857059,1.3049993,0.0509640,5.6766435,-5603.6426256,12.0000000
70.9580440,-56.1687917,17.6378666,1.2994310,0.0490584,5.6766435,-5660.3385183,12.0000000
71.5257083,-56.7364558,17.6383637,1.5699207,-2.3541565,5.6766435,-5719.6524127,12.0000000
72.0933727,-57.2772130,17.4656662,1.8799207,-2.6876754,5.6766435,-5784.2047222,12.0000000
72.6610370,-57.7395115,17.1362380,2.1899207,-2.6876754,5.6766435,-5850.5361097,12.0000000
73.2287014,-58.0792788,16.6814842,2.4999207,-2.6876754,5.6766435,-5912.3324670,12.0000000
73.7963657,-58.2641241,16.1447580,2.8099207,-2.6876754,5.6766435,-5963.9255987,12.0000000
74.3640301,-58.2764256,15.5772270,3.1199207,-2.6876754,5.6766435,-6000.7102597,12.0000000
74.9316944,-58.1150104,15.0329954,-2.8532646,-2.6876754,5.6766435,-6019.4709012,12.0000000
75.4993588,-57.8202752,14.5478419,-2.5956701,-2.2444838,5.6766435,-6016.6024323,12.0000000
76.0670231,-57.4518486,14.1159801,-2.4352944,-1.4069178,5.6766435,-5992.5923909,12.0000000
76.6346875,-57.0431656,13.7219990,-2.3378802,-0.8568972,5.6766435,-5954.7804877,12.0000000
77.2023519,-56.6116354,13.3531840,-2.2779941,-0.5273030,5.6766435,-5910.0541806,12.0000000
77.7700162,-56.1664870,13.0009260,-2.2402265,-0.3326665,5.6766435,-5861.8406327,12.0000000
78.3376806,-55.7128302,12.6596954,-2.2156899,-0.2161544,5.6766435,-5811.7807145,12.0000000
78.9053449,-55.2536265,12.3259668,-2.1992539,-0.1448010,5.6766435,-5760.6916546,12.0000000
79.4730093,-54.7906649,11.9974712,-2.1879047,-0.0999879,5.6766435,-5709.0055804,12.0000000
80.0406736,-54.3250664,11.6727238,-2.1798316,-0.0711260,5.6766435,-5656.9649215,12.0000000
80.6083380,-53.8575564,11.3507344,-2.1739201,-0.0520827,5.6766435,-5604.7130624,12.0000000
81.1760023,-53.3886172,11.0308299,-2.1694674,-0.0392295,5.6766435,-5552.3388244,12.0000000
81.7436667,-52.9185781,10.7125439,-2.1660202,-0.0303711,5.6766435,-5499.8995362,12.0000000
82.3113310,-52.4476682,10.3955474,-2.1632790,-0.0241504,5.6766435,-5447.4336123,12.0000000
82.8789954,-51.9760504,10.0796053,-2.1610418,-0.0197107,5.6766435,-5394.9677130,12.0000000
83.4466597,-51.5038416,9.7645471,-2.1591689,-0.0165011,5.6766435,-5342.5209745,12.0000000
84.0143241,-51.0311271,9.4502482,-2.1575616,-0.0141605,5.6766435,-5290.1075892,12.0000000
84.5819884,-50.5579689,9.1366176,-2.1561486,-0.0124493,5.6766435,-5237.7384242,12.0000000
85.1496528,-50.0844122,8.8235891,-2.1548767,-0.0112063,5.6766435,-5185.4220611,12.0000000
85.7173171,-49.6104890,8.5111156,-2.1537050,-0.0103226,5.6766435,-5133.1654782,12.0000000
86.2849815,-49.1362212,8.1991655,-2.1526012,-0.0097255,5.6766435,-5080.9745044,12.0000000
86.8526458,-48.6616221,7.8877197,-2.1515380,-0.0093671,5.6766435,-5028.8541264,12.0000000
87.4203102,-48.1866973,7.5767708,-2.1504916,-0.0092186,5.6766435,-4976.8086953,12.0000000
87.9879745,-47.7352440,7.2326302,-2.2221200,0.6305321,5.6766435,-4923.0505225,12.0000000
88.5556389,-47.3067928,6.8602428,-2.2863021,0.5650791,5.6766435,-4869.3088573,12.0000000
89.1233032,-46.9008769,6.4634114,-2.3448782,0.5157809,5.6766435,-4817.4308923,12.0000000
89.6909676,-46.5171711,6.0450663,-2.3993561,0.4797326,5.6766435,-4767.5070855,12.0000000
90.2586319,-46.1555714,5.6074723,-2.4509981,0.4547820,5.6766435,-4719.5978441,12.0000000
90.8262963,-45.8162469,5.1523881,-2.5008941,0.4394195,5.6766435,-4673.7548269,12.0000000
91.3939606,-45.4996811,4.6811886,-2.5500242,0.4326795,5.6766435,-4630.0339475,12.0000000
91.9616250,-45.2067147,4.1949649,-2.5993119,0.4340665,5.6766435,-4588.5037278,12.0000000
92.5292894,-45.0760397,3.6425458,-2.9093119,2.6876754,5.6766435,-4536.1847345,12.0000000
93.0969537,-45.1145055,3.0761862,3.0737793,2.6044306,5.6766435,-4485.0844269,12.0000000
93.6646181,-45.2908158,2.5365961,2.8257800,2.1626332,5.6766435,-4452.6414676,12.0000000
94.2322824,-45.5674004,2.0408706,2.6326746,1.6907734,5.6766435,-4441.2305644,12.0000000
94.7999468,-45.9131662,1.5906608,2.4866641,1.2818395,5.6766435,-4447.6519767,12.0000000
95.3676111,-46.3061634,1.1810316,2.3769136,0.9650005,5.6766435,-4467.3154177,12.0000000
95.9352755,-46.7318480,0.8054848,2.2937001,0.7322952,5.6766435,-4496.2292346,12.0000000
96.5029398,-47.0834697,0.3598336,2.4735911,-1.5763699,5.6766435,-4541.5658665,12.0000000
97.0706042,-47.3888809,-0.1186711,2.5735135,-0.8788881,5.6766435,-4587.6524221,12.0000000
97.6382685,-47.6670142,-0.6135294,2.6295478,-0.4934236,5.6766435,-4624.5474938,12.0000000
98.2059329,-47.9290083,-1.1171184,2.6618737,-0.2847532,5.6766435,-4656.0794476,12.0000000
98.7735972,-48.1812468,-1.6256639,2.6811502,-0.1698218,5.6766435,-4684.7227562,12.0000000
99.3412616,-48.4274215,-2.1371723,2.6930393,-0.1047453,5.6766435,-4711.9014951,12.0000000
99.9089259,-48.6697119,-2.6505321,2.7006195,-0.0667835,5.6766435,-4738.4194556,12.0000000
100.4765903,-48.9094368,-3.1650948,2.7056110,-0.0439767,5.6766435,-4764.7343381,12.0000000
101.0442546,-49.1474151,-3.6804676,2.7090025,-0.0298804,5.6766435,-4791.1111578,12.0000000
101.6119190,-49.3841685,-4.1964042,2.7113781,-0.0209296,5.6766435,-4817.7059929,12.0000000
102.1795833,-49.6200374,-4.7127459,2.7130919,-0.0150994,5.6766435,-4844.6119988,12.0000000
102.7472477,-49.8552490,-5.2293873,2.7143643,-0.0112103,5.6766435,-4871.8851231,12.0000000
103.3149120,-50.0899587,-5.7462569,2.7153357,-0.0085583,5.6766435,-4899.5587851,12.0000000
103.8825764,-50.3242745,-6.2633052,2.7160977,-0.0067134,5.6766435,-4927.6524429,12.0000000
104.4502407,-50.5582728,-6.7804972,2.7167114,-0.0054071,5.6766435,-4956.1767088,12.0000000
105.0179051,-50.7920089,-7.2978078,2.7172186,-0.0044686,5.6766435,-4985.1364708,12.0000000
105.5855694,-51.0255226,-7.8152188,2.7176484,-0.0037868,5.6766435,-5014.5328397,12.0000000
106.1532338,-51.2588431,-8.3327170,2.7180217,-0.0032886,5.6766435,-5044.3643879,12.0000000
106.7208981,-51.4919918,-8.8502926,2.7183537,-0.0029250,5.6766435,-5074.6279545,12.0000000
107.2885625,-51.7249841,-9.3679386,2.7186559,-0.0026630,5.6766435,-5105.3191768,12.0000000
107.8562269,-51.9579763,-9.8855847,2.7186559,0.0000000,5.6766435,-5136.4195154,12.0000000
108.4238912,-52.1909686,-10.4032307,2.7186559,0.0000000,5.6766435,-5167.9372861,12.0000000
108.9915556,-52.4239608,-10.9208767,2.7186559,-0.0000000,5.6766435,-5199.8791198,12.0000000
109.5592199,-52.6569531,-11.4385228,2.7186559,0.0000000,5.6766435,-5232.2373331,12.0000000
110.1268843,-52.7343205,-12.0008902,3.0048764,-2.4874148,5.6766435,-5279.3975058,12.0000000
110.6945486,-52.6364450,-12.5600531,-2.9683089,-2.6876754,5.6766435,-5329.7281641,12.0000000
111.2622130,-52.3726574,-13.0627050,-2.6583089,-2.6876754,5.6766435,-5366.3405540,12.0000000
111.8298773,-51.9681053,-13.4609266,-2.3483089,-2.6876754,5.6766435,-5384.9773261,12.0000000
112.3975417,-51.4613558,-13.7167543,-2.0383089,-2.6876754,5.6766435,-5384.0494747,12.0000000
112.9652060,-50.9007189,-13.8057993,-1.7283089,-2.6876754,5.6766435,-5363.6357486,12.0000000
113.5328704,-50.3396415,-13.7195727,-1.4183089,-2.6876754,5.6766435,-5325.4782987,12.0000000
114.1005347,-49.8316129,-13.4662947,-1.1083089,-2.6876754,5.6766435,-5272.8836221,12.0000000
114.6681991,-49.3912799,-13.1080354,-0.8878116,-1.9269558,5.6766435,-5212.7602642,12.0000000
115.2358634,-48.9892512,-12.7072665,-0.7869674,-0.8869682,5.6766435,-5154.4850514,12.0000000
